quote;author;context;source;date
"This is a dreadfully vapid paper - full only of mental masturbation: The danger is that younger statisticians often think such performances sophisticated and ape them.";A.S.C. Ehrenberg;"in the discussion of Harvey & Durbin's `seatbelt' paper";"JRSS A, 149, p. 220";March 1986
"In developing a methodology, leave room for improvement. It is absolutely critical not to kill a field by doing too good a job on the first outing.";David Donoho;"'How to be a Highly Cited Author in the Mathematical Sciences'";http://www.in-cites.com/scientists/DrDavidDonoho.html;2002
